school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Truesdell ES,District of Columbia Public Schools,Washington,370,,Yes under Community Eligibility Option (CEO),false
Tubman ES,District of Columbia Public Schools,Washington,415,,Yes under Community Eligibility Option (CEO),false
Turner ES,District of Columbia Public Schools,Washington,461,,Yes under Community Eligibility Option (CEO),false
Two Rivers PCS - 4th Street,Two Rivers PCS,Washington,391,,Yes participating without using any Provision or the CEO,true
Two Rivers PCS - Young ES,Two Rivers PCS,Washington,407,,Yes participating without using any Provision or the CEO,false
Two Rivers PCS - Young MS,Two Rivers PCS,Washington,224,,Yes participating without using any Provision or the CEO,false
Van Ness ES,District of Columbia Public Schools,Washington,404,,Yes under Community Eligibility Option (CEO),false
Walker-Jones Education Campus,District of Columbia Public Schools,Washington,292,,Yes under Community Eligibility Option (CEO),true
Washington Global PCS,Washington Global PCS,Washington,227,,Yes under Community Eligibility Option (CEO),true
Washington Latin PCS - Anna Julia Cooper MS,Washington Latin PCS,Washington,384,,Yes participating without using any Provision or the CEO,false
Washington Latin PCS - MS,Washington Latin PCS,Washington,389,,Yes participating without using any Provision or the CEO,false
Washington Latin PCS - Upper School,Washington Latin PCS,Washington,357,,Yes participating without using any Provision or the CEO,false
Washington Leadership Academy PCS,Washington Leadership Academy PCS,Washington,386,,Yes under Community Eligibility Option (CEO),false
Washington Yu Ying PCS,Washington Yu Ying PCS,Washington,701,,Yes participating without using any Provision or the CEO,false
Watkins ES (Capitol Hill Cluster),District of Columbia Public Schools,Washington,415,,Yes under Community Eligibility Option (CEO),false
Wheatley Education Campus,District of Columbia Public Schools,Washington,390,,Yes under Community Eligibility Option (CEO),true
Whittier ES,District of Columbia Public Schools,Washington,450,,Yes under Community Eligibility Option (CEO),true
